Pipeline,Horizon,Model,R2_raw,RMSE_raw,MAE_raw,Violations,R2_pp,RMSE_pp,MAE_pp,Shift
Pipeline A,1h,LSTM,0.861,75.53,56.94,114,0.8675,73.74,54.45,7.67
Pipeline A,1h,GRU,0.877,71.03,51.89,76,0.8803,70.07,50.3,5.96
Pipeline A,1h,CNN-LSTM,0.8565,76.74,58.47,115,0.8641,74.66,55.82,8.06
Pipeline A,1h,PI-LSTM,0.8601,75.76,56.65,32,0.8608,75.56,56.16,2.58
Pipeline A,24h,LSTM,0.8498,78.5,60.88,185,0.8606,75.65,56.14,11.44
Pipeline A,24h,GRU,0.8582,76.28,58.67,142,0.8718,72.53,52.19,18.77
Pipeline A,24h,CNN-LSTM,0.8275,84.15,64.16,188,0.8444,79.9,59.1,12.58
Pipeline A,24h,PI-LSTM,0.8641,74.68,55.95,32,0.8659,74.19,55.18,3.99
Pipeline B,1h,LSTM,0.938,59.58,44.26,276,0.9388,59.22,43.33,4.67
Pipeline B,1h,GRU,0.9415,57.88,41.75,328,0.9424,57.43,40.73,4.78
Pipeline B,1h,CNN-LSTM,0.942,57.64,42.92,421,0.9435,56.88,41.16,7.42
Pipeline B,1h,PI-LSTM,0.9343,61.33,46.35,185,0.9347,61.17,45.84,3.08
Pipeline B,24h,LSTM,0.8161,102.64,72.68,368,0.8183,102.01,71.14,6.85
Pipeline B,24h,GRU,0.8229,100.72,71.1,270,0.8241,100.37,70.08,5.77
Pipeline B,24h,CNN-LSTM,0.821,101.26,70.9,417,0.8232,100.63,69.1,7.3
Pipeline B,24h,PI-LSTM,0.7984,107.46,77.95,91,0.7987,107.39,77.68,2.34
Pipeline C,1h,LSTM,0.9416,57.86,43.13,316,0.9426,57.34,41.86,5.93
Pipeline C,1h,GRU,0.9406,58.34,43.54,274,0.9413,57.99,42.63,4.63
Pipeline C,1h,CNN-LSTM,0.934,61.5,46.1,299,0.9347,61.16,45.11,4.89
Pipeline C,1h,PI-LSTM,0.9344,61.33,46.44,152,0.9346,61.2,45.94,3.15
Pipeline C,24h,LSTM,0.8236,100.53,69.46,450,0.8262,99.78,67.6,7.76
Pipeline C,24h,GRU,0.825,100.12,68.11,293,0.8273,99.47,66.94,6.66
Pipeline C,24h,CNN-LSTM,0.8169,102.42,72.11,394,0.8191,101.8,70.54,6.64
Pipeline C,24h,PI-LSTM,0.8211,101.24,70.75,244,0.8222,100.93,69.9,5.34
Pipeline D,1h,LSTM,0.934,61.49,45.66,268,0.9349,61.06,44.64,5.35
Pipeline D,1h,GRU,0.9412,58.05,42.15,307,0.9423,57.51,41.07,5.49
Pipeline D,1h,CNN-LSTM,0.9206,67.43,50.96,228,0.9213,67.14,50.08,4.96
Pipeline D,1h,PI-LSTM,0.9369,60.13,44.86,180,0.9372,59.99,44.33,3.03
Pipeline D,24h,LSTM,0.8187,101.9,70.21,365,0.8216,101.06,68.62,7.42
Pipeline D,24h,GRU,0.8217,101.05,71.19,227,0.8233,100.59,70.21,6.3
Pipeline D,24h,CNN-LSTM,0.8211,101.21,70.84,377,0.8243,100.31,68.92,9.58
Pipeline D,24h,PI-LSTM,0.816,102.65,72.7,264,0.8171,102.33,71.68,5.36
Pipeline F,1h,LSTM,0.5787,146.0,105.83,10,0.5788,145.99,105.69,0.6000000238418579
Pipeline F,1h,GRU,0.6337,136.14,99.96,5,0.6339,136.11,99.71,1.690000057220459
Pipeline F,1h,CNN-LSTM,0.6737,128.49,93.14,9,0.6739,128.45,92.78,1.8300000429153442
Pipeline F,1h,PI-LSTM,0.58,145.79,104.17,0,0.58,145.79,104.17,0.0
Pipeline F,24h,LSTM,0.5792,145.91,106.27,0,0.5792,145.91,106.27,0.0
Pipeline F,24h,GRU,0.6814,126.96,94.93,15,0.6834,126.56,92.95,7.659999847412109
Pipeline F,24h,CNN-LSTM,0.6514,132.8,96.76,12,0.6516,132.77,96.47,1.3899999856948853
Pipeline F,24h,PI-LSTM,0.5761,146.45,105.65,0,0.5761,146.45,105.65,0.0
Pipeline G,1h,LSTM,0.6046,141.45,104.23,0,0.6046,141.45,104.23,0.0
Pipeline G,1h,GRU,0.595,143.15,106.16,10,0.596,142.97,105.08,5.519999980926514
Pipeline G,1h,CNN-LSTM,0.668,129.61,97.9,13,0.6691,129.4,96.67,5.449999809265137
Pipeline G,1h,PI-LSTM,0.5225,155.43,115.12,5,0.5226,155.42,115.0,0.8500000238418579
Pipeline G,24h,LSTM,0.6569,131.76,99.26,21,0.6594,131.27,97.52,6.809999942779541
Pipeline G,24h,GRU,0.7338,116.05,85.57,14,0.7365,115.48,83.57,8.670000076293945
Pipeline G,24h,CNN-LSTM,0.7026,122.67,90.85,18,0.7041,122.36,89.35,5.590000152587891
Pipeline G,24h,PI-LSTM,0.6552,132.08,94.58,5,0.6553,132.06,94.43,1.0499999523162842
