Pipeline,Horizon,Model,R2_raw,RMSE_raw,MAE_raw,Violations,R2_pp,RMSE_pp,MAE_pp,Shift
Pipeline F,1h,LSTM,0.5787,146,105.83,10,0.5788,145.99,105.69,0.6
Pipeline F,1h,GRU,0.6337,136.14,99.96,5,0.6339,136.11,99.71,1.69
Pipeline F,1h,CNN-LSTM,0.6737,128.49,93.14,9,0.6739,128.45,92.78,1.83
Pipeline F,1h,PI-LSTM,0.58,145.79,104.17,0,0.58,145.79,104.17,0
Pipeline F,24h,LSTM,0.5792,145.91,106.27,0,0.5792,145.91,106.27,0
Pipeline F,24h,GRU,0.6814,126.96,94.93,15,0.6834,126.56,92.95,7.66
Pipeline F,24h,CNN-LSTM,0.6514,132.8,96.76,12,0.6516,132.77,96.47,1.39
Pipeline F,24h,PI-LSTM,0.5761,146.45,105.65,0,0.5761,146.45,105.65,0
Pipeline G,1h,LSTM,0.6046,141.45,104.23,0,0.6046,141.45,104.23,0
Pipeline G,1h,GRU,0.595,143.15,106.16,10,0.596,142.97,105.08,5.52
Pipeline G,1h,CNN-LSTM,0.668,129.61,97.9,13,0.6691,129.4,96.67,5.45
Pipeline G,1h,PI-LSTM,0.5225,155.43,115.12,5,0.5226,155.42,115,0.85
Pipeline G,24h,LSTM,0.6569,131.76,99.26,21,0.6594,131.27,97.52,6.81
Pipeline G,24h,GRU,0.7338,116.05,85.57,14,0.7365,115.48,83.57,8.67
Pipeline G,24h,CNN-LSTM,0.7026,122.67,90.85,18,0.7041,122.36,89.35,5.59
Pipeline G,24h,PI-LSTM,0.6552,132.08,94.58,5,0.6553,132.06,94.43,1.05
